age,description,review,is_recommended,rating_star,review_date,usage_period,purchase_point
19 - 24,"Oily, Medium Light, Neutral","Skin type ku oily acne prone skin, alhamdulillah cocok banget, penggunaan udah +- 4 tahun. Di aku nggak nyumbat pori² ringan banget, iya memang awal² kayak kusem gitu tapi karena udah kepake terus udah gak kusem kek biasa aja natural gitu, gak bikin muncul jerawat. Penggunaan cukup sebiji jagung aja(sesuai muka saja gak perlu ampe 2ruas jari itu bukan patokan inget ya) ",yes,5,20/05/23, More than 1 year, Shopee
18 and Under,"Combination, Medium, Neutral","produknya bikin wajahku kusam sama oily bangettt. susah diratain juga karna ada whitecast, bikin gatel² jg sama lengket lengket. trs teksturenya agak kental. pokoknya ga cocok di kulit ku. mungkin untuk tipe kulit kering bakalan cocok.",No,2,20/05/23, 1 month - 3 months, Indomaret
19 - 24,"Normal, Medium Light, Neutral","aku pake ini dari smp akhir sih.. smpe skrg kuliah smt2😃✌🏻 aku pake ini utk daily!! karena walaupun dirumah pun ttp wajib pake ss kann!! nah ini cocook bgt deh🤛🏼🤍pernah coba ke brand lain tapi teteppp balik lagi sama wardah kecintaan ini!! so far cocok dikulit ku yg normal to dry sih, ada kesan melembapkannya!!✨✨ teksturnya aga kentel mungkin emg lebih susah di bland dibanding spf 50nya tp i ttp lovee!!!!🤏🏻✨🤍🤍🤍🫶🏻🫶🏻🫶🏻🏅🏅🏅🏅",yes,5,19/05/23, More than 1 year, Brand website
30 - 34,"Oily, Medium Dark, Neutral","Teksturnya agak thick, lebih ke cream daripada gel menurutku. intinya ini a lighter version of yang spf 50. soalnya yg spf 30 finishnya nggak se-greasy 50, dan feelnya masih lebih ringan spf 30 dibandingin yang spf 50. jadi aku lebih suka ini dibandingin yg spf 50. minusnya masih greasy dan bikin mata perih kalo kena. di mataku sih nggak, tapi di mata kakakku perih banget katanya. jadi mungkin tergantung orangnya kali yaa",yes,3,18/05/23, 1 month - 3 months, Watson
19 - 24,"Oily, Medium, Warm","Aku beli ini karena bingung nyari sunscreen yang cocok buatku. Dengan range harga yang masih masuk di kantong mahasiswaku ini, akhirnya aku beli. Aku nyoba beli ini juga setelah cek ingredients-nya dan ga ada bahan yang bakal ganggu buat kulitku (prefernsi aja siih). Sunscreen ini punya konsistensi gel semi cream gitu. Viskositas produknya cukup kental dan tebal jadi pas dipakai gak jadi yang ringan banget gitu tapi gak berat juga. Saat dipakai agak adem gitu. Dia mudah diratakan. Ga nimbulin gatel dikulitku. Sayangnya dia bikin mata ku perih, jadi kalau pakai ini aku ngakalinnya dengan menghindari apply di daerah mata, hanya di sekitarnya aja. Dia ada white castnya tapi masih tolerable dan seiring waktu akan hilang juga.",yes,3,16/05/23, 3 months - 6 months, Tokopedia
19 - 24,"Normal, Medium Dark, Neutral",sunscreen ini bagus bangetttt tapi aku gasuka yang formula jaman dulunya ih kalo diinget-inget perih banget di mata sama gak ngeblend-ngblend! tapi sekarang udah oke banget! teksturnya kentel dan pas dibaurin gampang banget tapi ngeblendnya emang harus agak effort tapi daya serapnya udah bagus bangett finishnya satin gitu ya biasanya aku set lagi biar matte. ini semua berdasarkan pengalaman aku dan kondisi kulitku bukan acne-prone jadi aku gatau bakal cocok gak sama FD babes yang kondisi wajahnya sprti itu,yes,4,15/05/23, 6 months - 1 year, XBeauty by Female Daily
19 - 24,"Oily, Medium, Neutral","Kulit aku kombinasi sensitif dan acne prone, sunscreen ini ga bisa nahan minyak di area hidungku, kalau lupa reapply muka bisa jadi kusam karena minyak dan debu yang menempel di wajah, yang aku suka dari sunscreen ini mudah meresap dan tidak berat sama sekali, aku pakai 2 ruas jari setiap pagi yaitu jari telunjuk dan jari tengah #SOCOBEAUTYREVIEW",No,2,14/05/23, 1 week - 1 month, Shopee
18 and Under,"Combination, Medium Light, Cool","Jujur ya aku makai ini udah berbulan-bulan dan tipe kulit ku agak dry but di sunscreen ini bener² cocok banget di aku. Efek pemakaian nya muka ku jadi cerahan dan glowing. Cocok banget dijadiin sunscreen terfav sih. Minusnya aga lengket pas ngeblend nya, emang butuh effort untuk blend nya ntar finishnya nyatu sama warna kulit",yes,4,12/05/23, 3 months - 6 months, Official Brand Store
25 - 29,"Normal, Medium, Neutral","Spf nya 30+++, agak kecil ya untuk di pakai beraktifitas panas panasan. Cocok aja sih selama pakai ini gak bikin jerawatan, tapi gak suka sama texture nya yg lengket, tebel, becek dan bikin gerah, meskipun begitu, kalau di timpa pake bedak tabur ini jadi bagus hasilnya dan gak nge crack, jadi kalau mau pake sunscreen ini tuh cukup aply moisturizer yg ringan, lalu sunscreen lalu timpa pake bedak tabur, tapi aplikasikan dengan kuas ya bukan spons, ini untuk tampilan dialy ibu-ibu rumah tangga Oke banget sih... kesimpulannya suka tapu setelah di aplikasikan bedak tabur... pembelian ulang? Tidak, aku beralih ke yg warna biru dengan merk yang sama, sudah spf 50++++",yes,3,12/05/23, 3 months - 6 months, Indomaret
19 - 24,"Oily, Medium Light, Cool","Dikulitku yang super oily skin, kalo berminyak 10 menit aja bisa tumbuh jerawat cukup ok. Ga bikin gampang jerawatan, melembapkan, dan melindungi dari sinar matahari yang ganas. Cuma kalo dipake di dataran tinggi (mine Tasikmalaya) itu enak banget meresap gitu jadi mau reapply berkali-kali juga enak. Currently lagi used dis product di Jakarta yang cuacanya panas banget ga ada obat, nah ada perbedaan penggunaan jadi harus rajin cuci muka biar ga berminyak banget muka atau harus dilap pake tissue biar ga numbuh jerawat hiks. I used this sunscreen as a moisturizer cuz dah cukup ngelembapin muka. Overall, untuk harga under 50K top sih.",yes,5,11/05/23, More than 1 year, Shopee
18 and Under,"Combination, Medium Light, Neutral","Aku udah pake ini selama 2 tahun! selama covid, aku sama sekali ga jerawatan karena pake ini. muka aku jadi glowing banget dan terhidrasi poll. sayang nya, kalo buat reapply ini tuh susah, ga enak, lengket, dan mata ku perih. tapi ini emang murah dan bagus sih, jangan ragu buat coba ya!",yes,3,09/05/23, More than 1 year, Shopee
25 - 29,"Oily, Medium, Neutral","sejujurnya aku cocok pake sunscreen ini, cuma bau nya agak ganggu dan ini perih banget dimata aku apalagi kalo udah kecampur air wudhu & ga sengaja masuk ke mata perih poll😭😭 padahal texture nya gampang di blend kasih efek melembabkan juga after pemakainnya👍🏻",No,3,06/05/23, 6 months - 1 year, Shopee
18 and Under,"Combination, Medium, Cool","di blend nya susah trs di kulit aku yang kombinasi to oily ga nyaman malah bikin muka kusem banget, lebih suka dipake ditangan sama kaki, tapi ya lumayan ngefek sih bikin kulit ga ngerasa kebakar banget klo kena matahari Bekasi hehe, cuman ya tetep aja bikin kulit keliatan kusam + minyakan banget",No,3,06/05/23, 1 month - 3 months, Shopee
19 - 24,"Combination, Medium Light, Neutral","udah pernah make waktu SMA dan menurut aku ya cocok untuk kantong pelajar dan ga ada efek samping setelah pake produk ini, cuman ga terlalu berasa efeknya di kulit kadang buat kulit kusam tapi masih recomended itu kamu jika masih duduk di bangku pelajar",yes,4,05/05/23, 1 month - 3 months, Shopee
25 - 29,"Dry, Medium, Warm","Sunscreen ini adalah salah satu sunscreen yang gak cocok di aku, menurutku terlalu oily dan comedo genic. gatau kenapa setiap pakai ini rasanya agak panas danpasti timbul jerawat baru. Maybe emang ada kandungan yang ga cocok di aku",No,2,04/05/23, 1 week - 1 month, Shopee
19 - 24,"Combination, Medium, Neutral","untuk kulit berjerawat, sensitif, kombinasi menurut aku sangat tidak worth it karena bikin jerawatan parah gatau kenapa. tekstur susah di blend, bisa si di blend cuma harus sabar. dimata ga perih aman ajaaa. bikin muka kusam finish nya..",No,2,04/05/23, Less than 1 week, Shopee
19 - 24,"Oily, Medium Light, Neutral","Sunscreen ternyaman yg pernah aku pakee!!!! Kemasannya tube dan ga terlalu besar. Ngerasa lebih simpel aja kalo mau pake. Kulit aku berminyak, tapi setiap pake sunscreen ini ga pernah gerah. Dan ga ada whitecast!! teksturnya ringan banget. Cocok bgt sih buat yg jenis kulitnya berminyak kaya aku.",yes,5,03/05/23, 1 month - 3 months, Guardian
19 - 24,"Combination, Medium, Warm",Iseng nyobain dan gatau kenapa lngsung beli 2. yakin-yakin aja bakal cocok. Reaksi dia di kulit muka sih bagus aja ga bikin muka panas setelah di apply. Tapi teksturnya lengket dan ga gampang meresap. Jadi spf ini menurutku ga cocok di muka yang oily maupun combination. Untuk muka yang kering oke banget krena akhirnya spf ini dipake kaka aku yg mukanya kering banget.,No,3,29/04/23, 1 month - 3 months, Guardian
18 and Under,"Oily, Medium Dark, Neutral","ini adalah sunscreen fav aku setelah skin aqua! aku lupa udah tube yang ke berapa, pokoknya udah lumayan lama aku make product ini. overall dia lumayan melindungi mukaku yang notabene nya suka beraktivitas di outdoor. kalo aku pake saat beraktifitas di indoor juga okee. teksturnya kyk lotion gitu, kalo makenya kebanyakan bikin muka nambah berminyak untuk aku yg oily skin ini (jd aku makenya ga banyak, disesuaikan dgn kondisi kulit). dia emg agak punya whitecast, tapi gapapa dan oke oke aja sih di aku. overall i love this product. so i wanna repurchase forever, bakal jadi ss tetapku yang tak tergantikan mwehe",yes,4,27/04/23, More than 1 year, Indomaret
18 and Under,"Combination, Medium Light, Cool","Pake ini karna temen ada yang rekomendasiin, tbh di aku gak terlalu cocok, pas pake ini rasanya kayak ada minyak gitu terus banyak, sama kayak kerasa kusam (?) Gak sreg aja makenya, ada whitecast juga, tapi kalau ss sih ya cocok aja, could be better.",No,3,25/04/23, 1 month - 3 months, Guardian
18 and Under,"Oily, Medium Light, Neutral","bagus buat oily skin, karena ga bikin minyakan. tpi, sygnya bikin kulit jerawatan parahhh dan muka jadi abu abu. whitecast nya ga main main, pdhl waktu itu aku apply nya dikit banget. agak malu sih applynya jadinya",No,2,25/04/23, 1 week - 1 month, Indomaret
19 - 24,"Dry, Medium Light, Neutral","Lumayan bagus untuk harga yang affordable. Butuh waktu beberapa menit ngeratainnya karena nyerapnya lumayan lama. Finishnya di aku bikin kulit kelihatan lebih berminyak dan aku kurang suka itu, jadi biasanya aku pakaikan bedak tabur marcks setelahnya. Dan sayangnya dia bikin perih di mata dan bikin mata kerasa berat setelah beberapa jam dipakai (mungkin karena efek perihnya, jadi mata ini rasanya pingin nutup aja wkwk)",yes,4,24/04/23, 1 month - 3 months, Tokopedia
25 - 29,"Combination, Medium, Neutral","Sunscreen kesayanganku, terxtur yang kek lotion, ringan pas dipakai, ga lengket sama sekali, ga bikin perih, ga bikin iritasi. Pakai ss ini tuh kek nemu harta karun yang selama ini aku cari2. Nglembabin wajah ga bikin kering & bisa mencerahkan kulit wajah. Udah gamau gonta ganti lagi pokonya. Best banget ss nya wardah yang satu ini harganya pelajarable banget guys! Jjempolll sepuluh haha!",yes,5,19/04/23, More than 1 year, Alfamart
19 - 24,"Dry, Medium, Neutral","Udah lama banget pake sunscreen wardah spf 30 ini, udah lebih dari 2 tahun dan suka banget btw kulit aku normal to dry skin dan lumayan sensitif but pake produk ini kulitku fine2 aja. aku cuma pernah pake ini dan sunscreen garnier tapi ga cocok pake sunscreen garnier. kurangnya cuma ini lumayan whitecase susah rata tapi lama2 nyerep di kulit jadi glowing+ kalo kena mata perih. udah repurcase puluhan kali wkwkwk",yes,5,14/04/23, More than 1 year, Shopee
30 - 34,"Normal, Light, Neutral","nyobain gara-gara dapet hadiah. pertama kali nyoba kok kayak biasa aja, ternyata aku salah pake. emang agak rumit sih pemakaian sunscreen, yang ternyata emang nggak boleh ngeman alias harus pake banyak. yaa selama aku pake oke2 aja. teksturnya lengket di awal, tapi kalo udah nyerep biasa aja. mau beli habis ini? mmmm mungkin..",yes,3,12/04/23, 1 month - 3 months, Gift
19 - 24,"Oily, Medium, Warm","Lagi-lagi dikasih produk ini sama ayang wkwkwk. Dan awalnya takut untuk pakai produk ini karena takut bereaksi kemerahan disekitar dagu. Tibalah akhirnya ssku habis dan harus coba produk ini daaaaannn yaaa menurutku ss ini teksturnya ringan, gampang di blend, ga lengket, gabikin mukaku kusam dan yang paling penting ga bereaksi kemerahan dimuka",yes,4,11/04/23, 3 months - 6 months, Gift
19 - 24,"Normal, Medium Light, Neutral","Sunscreen dari zaman SMA sampe sekarang semester 6 wkwk suka banget soalnya gak bikin whitecast di aku, terus gak lengket juga, texturenya enak mudah diblend nya, cepet bgt meresap nya juga. Ini repurchase kesekian kali nya, semoga next bisa ada yang size besar nya hehe",yes,5,09/04/23, 3 months - 6 months, Shopee
25 - 29,"Combination, Medium Light, Cool",emak gua demen bgt pake sunscreen ini 😂 ampe udah beberapa kali tuh repurchase. katanya enak ga ada efek yang bikin aneh aneh. isiannya bertekstur cream pas di apply gampang menyerapnya terus murce juga jadinya dia ga mau ganti ganti produk lagi,yes,4,08/04/23, More than 1 year, Shopee
19 - 24,"Normal, Medium, Neutral","wardah sunscreen ini texturenya agak thick yaa, bukan ss tipe aku banget. texturenya kentel dan agak susah di blend buat aku. keringnya juga agak lama need several times buat mastiin kalo bener-bener nyerep. ss ini juga di aku buat peeling dan kulit wajah aku serasa 'begah' pake ini.",yes,3,08/04/23, 1 week - 1 month, Official Brand Store
19 - 24,"Oily, Medium Light, Neutral","Menurut aku ss ini lumayan bikin kulit wajahku jadi lebih cerah dan efeknya juga bikin jerawat aku berkurang. Ketika pemakaian, ss ini gampang nyerap, nggak ada whitecast dan malah bikin efek glowing di wajah. Kekurangannya, kalau kena air (wudu’) itu bikin mata jadi perih. But ini rekomended buat yang mau coba pakai ss. Harganya juga terjangkau.",yes,4,08/04/23, More than 1 year, Shopee
30 - 34,"Combination, Medium, Warm","sunscreen paling cocok di kulitku, hasilnya emang ga matte dia ad glowing nya gitu jd ku tambahin bedak tabur sih, ga bikin jerawatan, ga gerah juga, mana aroma nya seger, harga juga murah, gatau kenapa pas sore tuh di kulit jd halus loh, uda berkali kali beli ga pernah mau ganti ke merk lain sih hehe",yes,5,05/04/23, 6 months - 1 year, Alfamart
25 - 29,"Dry, Medium Light, Cool","sorry ini knp berminyak bgt pdahal kulit aku dry😭 whitecast tp bagus bkin glowing tp berminyak di tzone parah,berat dan perih bgt dimata smpe susah melek bikin gerah juga sih pdahal udh didiemin didepan kipas dan rada bkin makeup crak ya sangking banjirnya ni muka😭",No,2,31/03/23, 3 months - 6 months, Shopee
18 and Under,"Normal, Medium, Neutral","such a good sunscreen for meee (not the best tho). walaupun banyak yang gasuka gegara white cast tapi masih bisa diakalin, cukup pake sebesar biji jagung aja jangan dua ruas jari soalnya wardah ini tipe yang teksturnya kental. sunscreen ini juga bikin kulitku sehat!",yes,4,31/03/23, 6 months - 1 year, Official Brand Store
19 - 24,"Combination, Medium Light, Neutral",Beli ini gara gara sunscreen ku abis dan nyari di alfamart ga ada jadi beli yang ada aja. Pertama pake kaya berat di muka tapi lumayan gampang di bland sih. kalau udah pake bedak dia ga bikin berminyak banget nantinya jadi bedak juga ga gampang geser,yes,4,30/03/23, 1 week - 1 month, Shopee
19 - 24,"Oily, Medium, Neutral","Dapet ini dari SxB2023, teksturnya kyk lotion dan di kulit aku yg oily menurutku feelsnya berat dan sedikit lama nyerap nya dan setelah pakai ini beberapa menit bikin malah berminyak dan kusam, kyknya lebih cocok dan lebih nyaman untuk kulit yg tipe nya dry, krn akhirnya aku kasih ke temenku yg skin type nya dry dia cocok pakai ini.",No,3,29/03/23, 1 week - 1 month, XBeauty by Female Daily
35 - 39,"Dry, Light, Cool","wardah itu di kulitku, selalu 'hit and miss' kalo cocok, oke banget. kalo gak cocok, breakout banget wkwkwkwk... aku beli ini karna bosen juga sih dengan sunscreen SPF 50 dan untuk kulit kering, pengen nyoba yang gak terlalu oily banget jadinya ke kulit. jadilah aku beli ini. so far so good aja sih... gak expect too much juga dengan semua produk sunscreen. teksturnya itu lebih ke thick lotion bukan gel, agak lama meresap ke kulit, dan sedikit heavy. gak bikin kulitku memerah, saat digunakan maupun setelah cuci muka. ini cukup bagus menurut aku",yes,5,27/03/23, 1 week - 1 month, Tokopedia
40 - 44,"Oily, Medium, Neutral","aku tadinya pake produk ini sih biasa2 aja... cm setelah tahu harus pakai 2 ruas jari... duuhhh bikin muka berminyak n susah buat di blend.... trs klo reapply, pas usapin si sunscreen nya ini jd kayak berdaki gt apa mungkin kebanyakan atau apa... trs dimuka jd oily banget... itu aja sih masalahnya.... selebihnya oke gada mslh... yg pengen gnti adalah si buat daki nya ini yg kt nya itu peeling.. tktnya g nyerap atau gmn...",No,3,23/03/23, 1 month - 3 months, Shopee
19 - 24,"Combination, Medium, Neutral","Salah satu ss yg cocok buat yg budgetnya pas2an. Teksturnya gel cream warna putih. diblendnya gampang. lembap buanget. gausa pake moist lagi kalo pake ini. finishnya dewy basah dan tacky. gampang terbilas air. minusnya dia gerah kalo dipake outdoor. kalo indoor aja aman. sama lobang keluarnya kegedean jd susah nakernya. oiya sama dia perih di mata pas dipake wudhu, padahal pas aplikasiin ke mata engga. sbg kulit kombinasi aku selalu set dia pake loose powder krn finishnya yg begitu. oily skin mungkin gakan suka. selama masih ada ss lain, aku gabakal pake dia lg sih.",yes,2,21/03/23, 6 months - 1 year, Lazada
19 - 24,"Combination, Medium Light, Warm",Sunscreen kecintaanku yang bener-bener harus dibeli terussss. Senyaman itu pake sunscreen wardah karna lagi-lagi produk dari wardah buat kulitku lembuuuut. Ss ini jg proteksinya oke bgt dan mudah didapat di mana aja. Trus yang paling penting ini harganya terjangkau bgtttt.,yes,5,19/03/23, More than 1 year, Shopee
25 - 29,"Combination, Light, Cool","Sunscreen gel tapi teksturnya agak mirip lotion, dan di kulit aku susah buat diblend, nyerapnya juga lamaaa banget jadi harus nunggu agak lama sampai bener-bener kering buat pakai make-up. Varian sunscreen yang ini juga agak lebih lengket daripada sunscreen Wardah yang warna biru. Harga affordable, tapi so sorry ga cocok :(",No,2,13/03/23, 1 month - 3 months, Shopee
19 - 24,"Combination, Medium, Cool","Sunscreen dari zaman sma sampe sekarang. Dari kemasan putih sampe sekarang berubah jadi oren. Teksturnya cream, gak ada whitecast, mudah di blend juga. Tapi kalo kebanyakan pakenya di kulit aku yang kombinasi dia jadi kayak berminyak banget. Tapi overall dia bagus, apalagi harganya terjangkau.",yes,4,11/03/23, More than 1 year, Shopee
19 - 24,"Oily, Light, Warm","Hasil akhirnya glowing gitu. dia ga ada oil control (ga ada klaim gini juga sih), makanya di kulit yang berminyak kaya aku lama-lama excess oil gitu. Skintoneku light medium, warm undertone, ga bikin putih (good point). Tapi ada satu hal yang aku sebel banget dan ga rekomem produk ini: DIA PERIH KE MATA! Aku pakai tipis di sekitar mata, lama-lama mataku perih. Aku pernah pakai Nivea Sunscreen yang Oil Control ga perih, pakai SkinBlush Sunscreen kemasan hitam ga perih, tanya temenku juga memang kudunya ga perih, ini sunscreen pertamaku yang perih ke mata. Pernah mataku perih pas lagi nyetir motor, haduh itu beneran deh, sulit lihat karena mata merem melek, ga enak banget. NOT RECOMMENED!",No,3,09/03/23, More than 1 year, Tokopedia
19 - 24,"Combination, Medium Light, Neutral","recommended sih. teksturnya seperti gel, awal mula pakai ada white cast dan susah sekali di blend tapi lama kelamaan ga ada white cast dan mulai terbiasa jdi gampang di blend. yang terpenting pakai secukupnya saja supaya ga whitecast. Jangan pakai waktu kering karna bakalan susah d blend dan whites cas. Di aku ga muncul efek negatif yang ada malah lumayan glowing, ga bruntusan juga dan ga bikin kilang minyak.",yes,5,07/03/23, 1 month - 3 months, XBeauty by Female Daily
25 - 29,"Dry, Medium, Neutral","nyobain beberapa kali punya sodaraku, ternyata enak di kulit wajahku yang dry skin ini, agak lembab, gak ketarik, gak terlalu berminyak, tapi pakai nya harus sedikit-sedikit yaa, karena agak thicky, dan kalau kebanyakan pun jadi putih banget, susah buat diratain, sampe hari ini belum berani buat beli ini, tapi aku suka karena udh beberapa kali coba",yes,4,05/03/23, Less than 1 week, Sample
18 and Under,"Combination, Medium Light, Neutral","Aku kulit sensitif kombinasi+acne prone. Awalnya aku tu dulu pake krim dokter karena sempet breakout parah. Pas mau ganti pake skin care biasa sempet takut apalagi tipe kulitku yang rewel banget. Jujur, ini sunscreen nya bagus. Tapi berat banget. Tapi ini ngasi aku zona nyaman selama hampir 3 kuarter tahun.",yes,5,04/03/23, 6 months - 1 year, Shopee
19 - 24,"Oily, Medium, Warm","Sunscreen wardah yang kuning ini ringan banget, teksturnya gel cream gitu. Dia gampang meresap dan setelah kering ngasih efek lembut gitu.Sejauh ini nyaman dikulit dan muraah banget, jadi aku suka sih pake ini, cocok di kantong remaja ehehe. Engga ada whitecast di aku sih",yes,5,03/03/23, 1 month - 3 months, Ranch/Farmer's Market
19 - 24,"Oily, Medium Light, Neutral","udah lama pake ini, sempat coba coba yang lain juga tapi tetep balik ke wardah lagi. sunscreennya waktu dipakai emang kek tebel gitu agak lama keringnya karena harus bener2 di ratain dulu. tapi ini bagusss harga juga murah bngt hihihi.....",yes,5,01/03/23, More than 1 year, Shopee
19 - 24,"Oily, Medium, Neutral","sunscreen ini aku coba saat viral di tiktok, alhasil coba ya kan, waktu itu belum banyak sunscreen seperti sekarang, jadi aku lanjutin aja smpe habis 1 tube dan hadir lah azarine, jadi langsung ke azarine. jadi pas dipake, ini berminyak parah, trs kalo mendekati mata perih bgt, apalagi kalo ambil wuduh atau kena air dan keringat beuh perih bgttt, mana habis pake ini kusam gitu muka ku huhu",No,1,28/02/23, Less than 1 week, Tokopedia
19 - 24,"Normal, Medium, Neutral","sedih banget gacocok pake ini pdahal murceeee. beli ini karena lagi minim budget untuk restock ss yang udah abis. di aku bikin ada jerawat kecil di jidat, padahal aku tipe yang hampir gapernah jerawatan karena suatu produk. alias kulitku tuh badak dan gak rewel, jerawat cuma kalo mau haid. tapi pake ini bikin gerah, sumuk, dan bruntus:(",No,2,25/02/23, 1 week - 1 month, Shopee
19 - 24,"Normal, Medium, Warm","pernah coba juga sunscreen wardah karna gampang banget dicari di minimarket deket rumah, terus terjangkau juga harganya. bagus juga nih hasilnya, ga ninggalin white cast dan ga lengket di kulit. kayanya repurchase 3 kali deh, yg awalnya coba-coba jadi kesenengan hehe",yes,5,24/02/23, 1 month - 3 months, Indomaret
19 - 24,"Oily, Medium Light, Neutral","sunscreen ini recommended sih. teksturnya seperti gel, awal mula pakai ada white cast dan susah sekali di blend tapi lama kelamaan ga ada white cast dan mulai terbiasa jdi gampang di blend. yang terpenting pakai secukupnya saja supaya ga whitecast. Jangan pakai waktu kering karna bakalan susah d blend dan whites cas. Di aku ga muncul efek negatif yang ada malah lumayan glowing, ga bruntusan juga dan ga bikin kilang minyak.",yes,4,19/02/23, 1 month - 3 months, Shopee
25 - 29,"Normal, Medium, Warm","sunscreen kecintaan, udah repurchase beberapa kali. teksturnya gel lotion, gampang di blend. gak ninggalin whitecase, finishnya jadi lembab glowing kayak minyakan tp klo udah ditimpa bedak jadi matte deh. pemakaian beberapa jam juga gak bikin wajah jadi kusam",yes,5,18/02/23, Less than 1 week, Indomaret
25 - 29,"Dry, Medium Light, Warm","kecintaan bangettttt. bikin nambah keglowingan dengan syarat kulitnya emang udah glowing, tapi kalo masih kusem jangan coba-coba bakal tambah kusem boookkkk. biasanya aku pake ini buat dirumah aja. biar kulit gak berat kasih spf30 aja",yes,5,17/02/23, More than 1 year, Shopee
19 - 24,"Oily, Medium Light, Warm","I dont know why a lot of people hate this product, padahal di kulit oily acne prone gw ini cocok bgt walaupun beberapa jam pemakaian mmg cukup berminyak di wajah tpi ga bikin breakout, untuk kekuatan spf nya bagus bgt walau cuma PA +++ tapi ga bikin sunburn asal reapply.Paling kekuranganya ini tu kalau kulit dalam kondisi kering dan langsung pake ss ni jadi whitecast parah itupun lumayan lama nunggu buat ngeblend, jdi make sure sudah pake pelembab sebelumnya biar mudah di blend.",yes,4,16/02/23, 3 months - 6 months, Guardian
40 - 44,"Oily, Medium, Warm",Ku tak mengerti dgn sunscreen ini. Aku pake ini mukaku jadi terlihat kusem & kucel. Kek yg gak mandi 2 hari. Wajahku juga jadi kek yg makin berminyak gitu :( Apakah sbnrnya sunscreen ini lebih cocok & ngaruh untuk kulit kering / normal? Aku gak bakalan repuchased sih. Untung ini dikasih sama adekku.,No,4,12/02/23, 3 months - 6 months, Gift
18 and Under,"Combination, Medium, Neutral","sangat-sangat tidak direkomendasikan untuk kulit yang berminyak terutama minyaknya di T-zone ya untuk hasil finishnya dewy dan akhirnya jadi kaya kusam tapi di tambahin pakai bedak lagi bisa nahan minyak untuk beberapa jam, dan untuk whitecast dia lumayan ada cuma ga putih"" amat msih nymabung sm skintone",No,3,12/02/23, Less than 1 week, Shopee
19 - 24,"Combination, Medium, Neutral","beli ini waktu pertama belajar skincare, ternyata ngga cocok dikulit aku. beberapa menit setelah pake kerasa panas dibagian sekitar mata sama hidung. terus juga dia melembabkan tapi bikin nambah berminyak banget apalagi di T-zone. teksturnya milky lotion dan agak lama nyerapnya",No,3,12/02/23, 1 month - 3 months, Hypermart
19 - 24,"Oily, Medium, Warm","sunscreen wardah bagus si cuma aku ngerasa pas pake jadi agak kusam dan super duper berminyak😭 awal pake si siangnya minyakan parah, jadi aku akalin pake bedak tabur lumayan nahan minyak, syukurnya ga ada efek negatif jadi masih aku pake smpe skrng.",yes,3,10/02/23, Less than 1 week, Shopee
19 - 24,",19 - 24",awal pake tu bagus bagus aja tapi kelamaan bikin kusam dan tambah jerawatan mungkin karna ingredients nya ga cocok di aku sesuai sm jenis kulit ajaa yaaa teman teman. mungki ada vit E yg kurang cocok di aku.,yes,3,09/02/23, 6 months - 1 year, Watson
19 - 24,"Combination, Medium, Neutral","Salah satu Sunscreen yang pertama kali aku coba mulai dari waktu SMA, teksturnya agak susah di blend tapi worth-it menurut aku karena harganya terjangkau, agak sedikit whitecast but no problem, untuk wanginya tidak terlalu strong menurut aku, and aku udah repurchase produk ini berkali-kali karena saking sukanya, tapi akhir-akhir ini dikulit aku agak pelling entah bahan dari produknya yang berubah atau gimana, oke itu aja review dari saya semoga membantu :).",yes,5,09/02/23, More than 1 year, Traditional market
19 - 24,"Combination, Medium Light, Neutral","Pertama harganya murah, tapi kayaknya di aku kurang cocok. Ratainnya agak butuh effort, harus per 1 jari ratain trus diulang. Agak whitecast dikit dan abis dipake malah bikin wajah jadi kayak berminyak banget. Sensasi pas dipake juga berat.",No,3,06/02/23, 1 month - 3 months, Shopee
19 - 24,"Dry, Medium, Neutral","Pertama kali nyoba sunscreen wardah ini😍😍😍 aku review dari packagingnya dulu yang travel friendly, tutup sunscreen flip flop jadi aman buat kemana mana, tekstur sunscreen sendiri menurutku lebih mild ya dari sunscreen yang pernah aku coba sebelumnya dan untuk finisihingnya bagus sih bikin muka jadi lebih glowing, lembab, dan ngga bikin whitecast. Untuk ketahanan sunscreen sendiri kadang kalau cuaca panas bikin mukaku jadi rada kusam sih tapi masih oke lah. untuk kulit kering kayak aku worth untuk dicoba karna bikin kulit jadi lembab tapi kalo untuk kulit berminyak saranku pakai produk lain sih",yes,4,06/02/23, 1 month - 3 months, Guardian
19 - 24,"Combination, Medium Light, Neutral","sunscreen yang pertama aku pake selama kenal skincare, udh pake dari jaman smp pas packagingnya masih putih tosca, sunscreen ini kalo pake dua tetes aja udh bisa pake buat wajah&leher, agak ada whitecastnya dikiiit, peelingnya jg dikit, tp klo buat pemula. mau pake ini cocok banget!!! hasil akhir kalo pake sunscreen ini tuh muka jadi dewy glowing gitu, glowingnya bukan minyakan, tp pure glowing kek kulit yg sehat!",yes,5,05/02/23, More than 1 year, Shopee
